game_number,game_name,game_file,target_vertices,success,solve_time_seconds,winning_region_t0,winning_region_t10000,error_message
813,game_0813_complex_7,/home/pete/ontime/generated_games/game_0813_complex_7.tg,"s4,s6",True,0.105,"s2,s0,s5,s4,s6","s4,s6",
814,game_0814_complex_13,/home/pete/ontime/generated_games/game_0814_complex_13.tg,"s2,s5,s6,s8,s9,s10",True,0.108,"s5,s11,s1,s0","s2,s10,s9,s5,s6,s8",
815,game_0815_complex_15,/home/pete/ontime/generated_games/game_0815_complex_15.tg,"s1,s4,s7,s10,s13",True,0.111,"s5,s9,s11,s13,s3,s6,s0,s10,s12,s8,s14,s7,s4","s1,s10,s13,s7,s4",
816,game_0816_complex_14,/home/pete/ontime/generated_games/game_0816_complex_14.tg,"s5,s6,s13",True,0.112,"s2,s8,s6,s13,s3,s10,s11","s13,s6,s5",
817,game_0817_complex_7,/home/pete/ontime/generated_games/game_0817_complex_7.tg,,False,0.000,,,No target vertices
818,game_0818_complex_12,/home/pete/ontime/generated_games/game_0818_complex_12.tg,"s1,s2",True,0.109,"s7,s9,s2,s10,s4","s2,s1",
819,game_0819_complex_9,/home/pete/ontime/generated_games/game_0819_complex_9.tg,"s3,s4,s5,s7",True,0.102,"s8,s2,s1,s5","s3,s7,s5,s4",
820,game_0820_complex_8,/home/pete/ontime/generated_games/game_0820_complex_8.tg,,False,0.000,,,No target vertices
821,game_0821_complex_5,/home/pete/ontime/generated_games/game_0821_complex_5.tg,s3,True,0.101,s2,s3,
822,game_0822_complex_8,/home/pete/ontime/generated_games/game_0822_complex_8.tg,"s1,s2,s6,s7",True,0.102,s3,"s7,s1,s2,s6",
823,game_0823_complex_5,/home/pete/ontime/generated_games/game_0823_complex_5.tg,s2,True,0.100,s0,s2,
824,game_0824_complex_9,/home/pete/ontime/generated_games/game_0824_complex_9.tg,s3,True,0.127,"s2,s3,s6,s5,s4,s1",s3,
825,game_0825_complex_9,/home/pete/ontime/generated_games/game_0825_complex_9.tg,"s6,s7",True,0.124,"s7,s0","s7,s6",
826,game_0826_complex_5,/home/pete/ontime/generated_games/game_0826_complex_5.tg,"s1,s3",True,0.102,"s3,s4,s0","s1,s3",
827,game_0827_complex_15,/home/pete/ontime/generated_games/game_0827_complex_15.tg,"s2,s9,s10,s12,s13",True,0.111,"s11,s12,s0,s3","s13,s2,s9,s10,s12",
828,game_0828_complex_13,/home/pete/ontime/generated_games/game_0828_complex_13.tg,"s0,s1,s4,s5",True,0.113,"s10,s1,s3,s8,s7,s11,s6,s12,s5,s9,s4,s0,s2","s0,s5,s1,s4",
829,game_0829_complex_14,/home/pete/ontime/generated_games/game_0829_complex_14.tg,"s5,s7,s9",True,0.097,"s9,s6,s12,s4,s0,s7,s8","s9,s7,s5",
830,game_0830_complex_9,/home/pete/ontime/generated_games/game_0830_complex_9.tg,"s1,s3,s6,s7",True,0.104,"s6,s1,s2,s4,s3","s7,s6,s3,s1",
831,game_0831_complex_4,/home/pete/ontime/generated_games/game_0831_complex_4.tg,"s0,s1",True,0.097,"s0,s2,s3","s0,s1",
832,game_0832_complex_13,/home/pete/ontime/generated_games/game_0832_complex_13.tg,s1,True,0.112,"s10,s8,s12,s0,s6,s1,s7,s3,s2",s1,
833,game_0833_complex_9,/home/pete/ontime/generated_games/game_0833_complex_9.tg,"s2,s3,s6",True,0.104,"s8,s5,s3","s3,s2,s6",
834,game_0834_complex_4,/home/pete/ontime/generated_games/game_0834_complex_4.tg,"s2,s3",True,0.101,,"s2,s3",
835,game_0835_complex_9,/home/pete/ontime/generated_games/game_0835_complex_9.tg,"s2,s4",True,0.103,"s1,s6,s5","s4,s2",
836,game_0836_complex_8,/home/pete/ontime/generated_games/game_0836_complex_8.tg,s7,True,0.101,"s5,s2",s7,
837,game_0837_complex_8,/home/pete/ontime/generated_games/game_0837_complex_8.tg,"s2,s4,s7",True,0.103,"s5,s2,s3,s4,s6,s1","s4,s7,s2",
838,game_0838_complex_13,/home/pete/ontime/generated_games/game_0838_complex_13.tg,"s4,s7",True,0.111,"s10,s5,s7,s1,s2,s3,s9,s8,s12,s4,s0","s4,s7",
839,game_0839_complex_14,/home/pete/ontime/generated_games/game_0839_complex_14.tg,"s1,s7,s8,s12",True,0.124,"s0,s4,s13,s9,s8,s3,s10,s7,s2,s12,s6,s11","s8,s12,s7,s1",
840,game_0840_complex_14,/home/pete/ontime/generated_games/game_0840_complex_14.tg,"s5,s8,s11,s12,s13",True,0.142,"s2,s13,s8,s5,s4,s0","s11,s8,s12,s5,s13",
841,game_0841_complex_12,/home/pete/ontime/generated_games/game_0841_complex_12.tg,"s1,s4,s5,s8",True,0.112,"s5,s4,s8,s11,s0","s5,s1,s4,s8",
842,game_0842_complex_11,/home/pete/ontime/generated_games/game_0842_complex_11.tg,"s1,s2,s5",True,0.109,"s5,s6,s2,s9,s0,s3,s7,s1,s10,s4","s1,s2,s5",
843,game_0843_complex_15,/home/pete/ontime/generated_games/game_0843_complex_15.tg,"s7,s11",True,0.114,"s14,s5,s11,s10,s1,s12,s9,s0,s2","s7,s11",
844,game_0844_complex_8,/home/pete/ontime/generated_games/game_0844_complex_8.tg,"s0,s2,s4,s5",True,0.130,"s1,s3,s0,s6,s4,s5,s2,s7","s2,s4,s5,s0",
845,game_0845_complex_6,/home/pete/ontime/generated_games/game_0845_complex_6.tg,,False,0.000,,,No target vertices
846,game_0846_complex_5,/home/pete/ontime/generated_games/game_0846_complex_5.tg,"s1,s2",True,0.117,"s3,s2,s4,s0","s1,s2",
847,game_0847_complex_4,/home/pete/ontime/generated_games/game_0847_complex_4.tg,,False,0.000,,,No target vertices
848,game_0848_complex_5,/home/pete/ontime/generated_games/game_0848_complex_5.tg,"s0,s2",True,0.100,s2,"s2,s0",
849,game_0849_complex_4,/home/pete/ontime/generated_games/game_0849_complex_4.tg,,False,0.000,,,No target vertices
850,game_0850_complex_14,/home/pete/ontime/generated_games/game_0850_complex_14.tg,"s3,s5,s13",True,0.112,,"s13,s5,s3",
851,game_0851_complex_10,/home/pete/ontime/generated_games/game_0851_complex_10.tg,"s0,s3,s5,s8",True,2.147,"s0,s2,s6,s1,s7","s8,s5,s0,s3",
852,game_0852_complex_11,/home/pete/ontime/generated_games/game_0852_complex_11.tg,"s4,s10",True,0.108,"s5,s10,s8,s9,s7,s6,s4,s1,s0","s4,s10",
853,game_0853_complex_9,/home/pete/ontime/generated_games/game_0853_complex_9.tg,"s0,s1,s5,s6",True,0.103,"s5,s8,s2,s4,s7,s6,s1,s0","s6,s0,s5,s1",
854,game_0854_complex_7,/home/pete/ontime/generated_games/game_0854_complex_7.tg,,False,0.000,,,No target vertices
855,game_0855_complex_10,/home/pete/ontime/generated_games/game_0855_complex_10.tg,"s0,s5,s8,s9",True,0.134,"s1,s3,s9","s0,s5,s9,s8",
856,game_0856_complex_15,/home/pete/ontime/generated_games/game_0856_complex_15.tg,"s1,s6,s7,s12,s13",True,0.126,"s2,s11,s5","s7,s1,s6,s12,s13",
857,game_0857_complex_14,/home/pete/ontime/generated_games/game_0857_complex_14.tg,"s3,s5,s8,s12",True,0.114,"s8,s0,s7,s9,s4,s1,s12","s8,s3,s12,s5",
858,game_0858_complex_11,/home/pete/ontime/generated_games/game_0858_complex_11.tg,"s0,s2,s3,s9,s10",True,0.126,"s4,s7,s2,s5,s9","s2,s10,s0,s3,s9",
859,game_0859_complex_11,/home/pete/ontime/generated_games/game_0859_complex_11.tg,"s1,s2,s7,s10",True,0.115,"s0,s5,s2,s8","s1,s2,s7,s10",
860,game_0860_complex_8,/home/pete/ontime/generated_games/game_0860_complex_8.tg,"s5,s7",True,0.114,"s1,s6","s7,s5",
